tmlprm,tmlversi,tmldata,tmlnobuk,tmlkode1,tmlkode2,tmlkode3,tmlkode4,tmlket1,tmlket2,tmlket3,tmlket4,tmlkode5,tmlkode6,tmlyt,tmlcrtusr,tmlscr,tmltotal1,tmltotal2,tmltotal3,tmltotal4,tmltotal5
1462,1,DTTMPLAP,RUGILABA,BLN,411.01.3009,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1464,3,DTTMPLAP,RUGILABA,BLN,411.01.3010,TDK,C0001,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1466,1,DTTMPLAP,RUGILABA,BLN,411.01.3011,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1468,3,DTTMPLAP,RUGILABA,BLN,411.01.3012,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1470,3,DTTMPLAP,RUGILABA,BLN,411.01.3101,TDK,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1472,2,DTTMPLAP,RUGILABA,BLN,411.01.4001,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1474,3,DTTMPLAP,RUGILABA,BLN,411.01.4101,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1476,3,DTTMPLAP,RUGILABA,BLN,411.01.4102,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1478,2,DTTMPLAP,RUGILABA,BLN,411.01.4103,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1480,3,DTTMPLAP,RUGILABA,BLN,411.01.4104,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1482,2,DTTMPLAP,RUGILABA,BLN,411.01.4201,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1484,2,DTTMPLAP,RUGILABA,BLN,411.01.4202,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1486,2,DTTMPLAP,RUGILABA,BLN,411.01.4301,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1488,3,DTTMPLAP,RUGILABA,BLN,411.01.4302,TDK,A1001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1490,2,DTTMPLAP,RUGILABA,BLN,411.01.4303,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1492,3,DTTMPLAP,RUGILABA,BLN,411.01.4304,,D0002,AHASS,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1494,3,DTTMPLAP,RUGILABA,BLN,411.01.4305,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1496,2,DTTMPLAP,RUGILABA,BLN,411.01.4306,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1498,3,DTTMPLAP,RUGILABA,BLN,411.01.4307,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1500,2,DTTMPLAP,RUGILABA,BLN,411.01.4308,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1502,2,DTTMPLAP,RUGILABA,BLN,411.01.4309,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1504,2,DTTMPLAP,RUGILABA,BLN,411.01.4310,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1506,3,DTTMPLAP,RUGILABA,BLN,411.01.4311,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1508,2,DTTMPLAP,RUGILABA,BLN,411.01.4312,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1510,2,DTTMPLAP,RUGILABA,BLN,411.01.4313,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1512,0,DTTMPLAP,RUGILABA,BLN,411.01.4314,,C0002,,TDK KONTRIBUS,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1514,2,DTTMPLAP,RUGILABA,BLN,411.01.4315,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1516,2,DTTMPLAP,RUGILABA,BLN,411.01.4316,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1518,2,DTTMPLAP,RUGILABA,BLN,411.01.4317,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1520,2,DTTMPLAP,RUGILABA,BLN,411.01.4318,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1522,4,DTTMPLAP,RUGILABA,BLN,411.01.4319,,B0008A,MKT,TDK KONTRIBUS,GAB_SISPOK,OPEX,,,,,,0.0,0.0,0.0,0.0,0.0
1524,2,DTTMPLAP,RUGILABA,BLN,411.01.4320,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1526,2,DTTMPLAP,RUGILABA,BLN,411.01.4321,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
